image,titre,collection,description,prix,id
../images/zenitsu.jpg,"Zenitsu Agatsuma","Demon slayer","Cette qualité de réplique d’épée Zenitsu offerte par Sword Anime est livré avec son fourreau en bois laqué rouge. Le manche noir de l’épée Zenitsu est entouré d’un laçage blanc. La lame de l’épée zénitsu est faite d’acier et de carbone, coupant ou non. Un effet miroir sur la lame de l’épée Agsuma Zenitsu",69.99,01
../images/rukia.jpg,"Rukia Kuchiki","Bleach","Cette qualité de la réplique d’épée rukia offerte par Sword Anime est livré avec son fourreau en bois laqué blanc. Le manche noir de l’épée rukia est entouré d’un laçage tressé en coton blanc. La lame rukia est en acier 444 et peut être tranchante ou non. Un effet miroir sur la lame de l’épée rukia.",89.99,02
../images/zoro.jpg,"Roronoa Zoro","One piece","Cette qualité de l'épée Enma est livré avec son fourreau de bois franc. Le manche de l’épée en bois Shusui est en laçage en coton noir. La lame Shusui est faite de bambou sélectionné avec un effet verni sur la lame de Shusui Wooden Sword.",69.99,03
../images/limule.jpg,"Limule Tempest","Slime réincarné",Cette qualité de réplique de l'épée de Limule Tempest est livré avec son fourreau en bois laqué. Le manche de l’épée Rimuru Tempest est entouré d’un laçage blanc. La lame de Limule Tempest est faite d’acier et de carbone et peut être affûtée.",59.99,04
../images/akame.jpg,"Akame",Akame ga kill,"Cette réplique du katana Murasame est livrée avec son fourreau en bois massif. Le manche des sabres est fait d'une peinture laquée rouge. La lame du Katana est en acier et carbone non coupante avec possibilité d'affutage.",89.99,05
../images/gintama.jpg,"Sakata Gintoki","Gintama",Cette qualité de réplique de l'épée de Gintoki est livré avec son fourreau en bois massif. Sur le manche de l’épée est écrit « Lac Touya » en japonais. La lame de Gintoki Sword est réalisée en PVC non coupant et effet peint sur la lame Gintoki",69.99,06
../images/trunks.jpg,"Trunks","Dragon Ball","Cette réplique de l'épée de trunks de qualité est livrée avec son fourreau en bois massif. Le manche du katana est fait d'un laçage en coton noir. La lame de l'épée est en acier et carbone non coupante avec possibilité d'affutage",75.99,07
../images/aizen.jpg,"Sosuke Aizen","Bleach","Cette réplique de l'épée d'Aizen est livrée avec son fourreau en bois dur. Le manche du Katana est fait d'un laçage en coton de couleur vert. La lame est en acier et carbone non coupante avec possibilité d'affutage.",69.99,08
../images/archer.jpg,"Archer","Fate","Cette réplique des épées d'Archer de qualité sont livrées sans fourreau. La poignée des épées est constituée d'une garde en acier. La lame est en acier et carbone non coupant avec possibilité d'affutage.",99.99,09
../images/asuna.jpg,"Yuuki Asuna","Sword art online","Cette réplique de l'épée d'Asuna est livrée avec son fourreau en  PVC. Le manche de l'épée est fait d'une garde en acier. La lame du sabre est en acier et carbone non coupante avec possibilité d'affutage sur la lame.",69.99,10